id,section_id,code,language,order
b7600c19-dfaa-4fc3-88f6-e153cf03dac6,26cd0f24-ec68-5e0e-a29f-cbf6742a7443,"properties: {     // [...]     title: {       label: {         en: ""Title"",       },       type: ""Text"",       defaultValue: ""My title"",       bindable: true,     }, }",unknown,1
91bc82cf-8504-4c29-87d0-b72b31841301,9f6a502d-35dc-5b5d-82bf-030a5773c3e9,"<div class=""my-element"">     <h1>{{ content.title }}</h1>     <p :style=""textStyle"">I am a custom element!</p>   </div>",unknown,1
8611f735-7a65-4949-9f90-4c585a1179b6,f49c93d3-a466-5aa6-8687-72ba8e01dd10,"properties: {     // [...]     header: {       hidden: true,       defaultValue: []     }, }",unknown,1
5b23ea97-7408-4ad8-8796-302f77053eab,8f988ec8-253e-5ad9-bf9b-0f6a35b3ab85,"<div class=""my-section"">     <wwLayout path=""header"" direction=""column"" class=""header""/>     <p>         Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et         dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex         ea commodo consequat.     </p> </div>",unknown,1
dc3ddbbd-0e40-4f46-830f-2b1c26ca1c5e,8f988ec8-253e-5ad9-bf9b-0f6a35b3ab85,.my-section {     // [...]     .header {         min-height: 20px;         display: flex;         flex-direction: column;     } },unknown,2
805b81d0-bd63-4952-9c58-045d3a04fae8,f4bef0d5-0733-5466-955b-0b9e9ef9d28f,"// ww-config.js properties: {     // [...]     cards: {       hidden: true,       defaultValue: []     }, }",unknown,1
dcb36278-d71a-49a9-aaf6-48f9d0dac072,f4bef0d5-0733-5466-955b-0b9e9ef9d28f,"<div class=""my-section"">     <wwLayout path=""cards"" direction=""row"" class=""cards"">         <template v-slot=""{ item }"">             <wwLayoutItem class=""card"">                 <wwObject v-bind=""item"">             </wwLayoutItem>         </template>     </wwLayout> </div>",unknown,2
0e9decd9-1b88-436d-adba-d1141a63d793,f4bef0d5-0733-5466-955b-0b9e9ef9d28f,.my-section {     .cards {         display: flex;         justify-content: space-around;     }     .card {         border: 1px solid dashed;         padding: 4px;         border-radius: 8px;         min-width: 100px;     } },unknown,3
397a60fe-c36a-438d-8f18-4a11c726cc76,3ad482dc-1ca3-5bac-b270-b5695b2f0d6f,"// ww-config.js properties: {     // [...]     cards: {       hidden: true,       bindable: 'repeatable',       defaultValue: []     }, }",unknown,1
4b556141-aa52-4dd4-92d9-59ac352878de,2c2264b9-91d3-551c-8a9f-d911aa3b2b42,"properties: {     // [...]     title: {       hidden: true,       defaultValue: { isWwObject: true, type: 'ww-text' },     }, }",unknown,1
f02afe1a-d329-40c3-b6d8-f0ed7cfbd724,bf693a54-2eb9-5eed-a28d-1fc870089d6c,"<div class=""my-section"">     <wwElement v-bind=""content.title"" />     <p>         Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et         dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex         ea commodo consequat.     </p> </div>",unknown,1
6a7bb98a-222c-4e14-9b94-f7e488cb06a2,14d5f229-ebeb-5a38-9cd0-6a4e668da839,"// inside ww-config.js properties: {     // [...]     priceElement: {       hidden: true,       defaultValue: { isWwObject: true, type: 'ww-text' },     }, }",unknown,1
32ae91e4-0783-43ec-b6fa-e49127002a98,14d5f229-ebeb-5a38-9cd0-6a4e668da839,"<div class=""my-section"">     <wwElement v-bind=""content.priceElement"" :ww-props=""{ text: computedPrice }""></wwElement> </div>",unknown,2
e5e52dea-5a31-44eb-aeeb-6ba3c9a7eedc,0fe6bd8c-ed54-5d81-8d84-124ae7144da0,"export default {     // [...]     methods: {         createIcon() {             const icon = wwLib.createElement({ type: ""ww-icon"" })             this.$emit('update', { icon })         }     }     // [...] }",unknown,1
2a9301e3-b464-4e5b-a03c-82b70d25700d,08585edd-c8c8-54b6-ac0d-c9787a8ad457,"properties: {     // [...]     title: {       label: {         en: ""Title"",       },       type: ""Text"",       defaultValue: ""My title"",     }, }",unknown,1
8dff326b-b0cb-4a75-b2e8-7203ddabb811,67d8eb54-ca12-52bb-b631-731108ccd62c,"<div class=""my-element"">     <h1>{{ content.title }}</h1>     <p :style=""textStyle"">I am a custom element !</p>   </div>",unknown,1
2c03d232-407d-4b9b-b458-3a77f6df483c,037016d6-a3df-50f4-8984-5b4597e00a51,"properties: {     // [...]     titleFontSize: {         label: {             en: ""Title font size"",         },         type: ""Length"",         options: {             unitChoices: [{ ""value"": ""px"", ""label"": ""px"", ""min"": 1, ""max"": 100 }]         },         responsive: true,         defaultValue: ""16px""     }, }",unknown,1
e1eed4fd-b549-4e2e-a1f4-8c34b9017766,9e0faa01-edf0-5c00-bd16-0e359e24f937,"export default {     props: {         content: { type: ""Object"", required: true },     },     computed: {         textStyle() {             return {                 color: this.content.textColor,                 fontSize: this.content.titleFontSize,             };         },     }, };",unknown,1
f4e5d742-43ba-4e93-8532-8737bd67fc58,9e0faa01-edf0-5c00-bd16-0e359e24f937,.my-section {     display: flex;     flex-direction: column;     align-items: center;     min-height: 200px;     // h1 {     //     font-size: 32px;     // }     p {         margin-top: 12px;     } },unknown,2
db77bf53-49cf-421e-bcfb-9fa69e6db7cd,a1a7ed47-ac84-5c7c-8dfe-d614ed5a9de7,"properties: {     // [...]     title: {       label: {         en: ""Title"",       },       type: ""Text"",       defaultValue: ""My title"",       multiLang: true,     }, }",unknown,1
6d6d1b18-0ace-4904-8f61-8e966c5b6a2a,a3fde913-0cf9-5110-9690-4700824b2516,"<div class=""my-element"">     <h1>{{ wwLib.wwLang.getText(content.title) }}</h1>     <p :style=""textStyle"">I am a custom element!</p>   </div>",unknown,1
ac27f6fa-a91c-49e8-ab52-1ed10a84e90d,002d35df-18cf-5a4f-8b2e-31052ceeafb6,"infoTag: content => ({     color: 'var(--ww-color-blue-500)',     backgroundColor: 'var(--ww-color-blue-100)',     text: content.tag === 'button' ? 'BTN' : content.tag && content.tag.toUpperCase()     action: () => {         // anything you want to do on click     } }),",unknown,1
91a31965-0702-45a6-a508-6f373393ec67,7946b820-3ab0-5eeb-a9a0-c98e9ae16424,type InfoTag = {   color: string;   backgroundColor: string;   text?: string;   icon?: string;   action: function; };,unknown,1
711e93d0-3dd9-4463-89c9-a99e05338b82,b800aa18-7966-5f24-8159-a310632a3465,"const wwEditorState = {   editMode: wwLib.wwEditorHelper.EDIT_MODES.EDITION,   isSelected: false,   isDoubleSelected: false,   isHovered: false,   sidepanelContent: {},   isACopy: false,   boundProps: {     data: true,     fontSize: false,   }, };",unknown,1
146b3a27-3f88-4450-81fd-eb4a56ea5cde,95091bcc-d8f5-57e3-975e-dfb8fb4c2037,"const wwFrontState = {   lang: ""en"",   pageId: ""123544"",   sectionId: ""123456"",   screenSize: ""desktop"",   screnSizes: [""desktop"", ""tablet"", ""mobile""], };",unknown,1
9c20bfe2-5df6-4f87-85ae-b5068b36881b,3ec733c1-a40a-5c85-afd9-320c4d214b7b,"const wwElementState = {   props: {},   isInsideLink: false,   name: ""My element"", };",unknown,1
f9da2d19-c743-43bf-97b6-6c517f43be3c,bcb526cf-2395-5483-b2a0-76308f02e1f5,"// Inside your component methods you can do this.$emit(""update:content"", {   /*... */ });",unknown,1
70c2ecfe-4667-4731-9f10-209aea01eabe,e14a1f3e-8058-52e2-8453-427dbdc6ce37,"{     type: ""Array"",     label: { ""en"": ""List of items"" },     options: {         item: {             [...] // a content property         },         fixed: false // if true, do not display add and remove button     } },",unknown,1
0fdfaf27-98a2-4c9c-813c-81873a4a71ec,906f85f7-3c39-538c-864f-5efdb4eec11a,"{     label: { en: 'Presets' },     type: 'BigButtons',     options: {         action: 'setPreset',         values: [             { icon: 'two-columns-mosaic', id: 'two-columns-mosaic' },             { icon: 'three-columns-mosaic', id: 'three-columns-mosaic' },             { icon: 'four-columns-mosaic', id: 'four-columns-mosaic' },             { icon: 'five-columns-mosaic', id: 'five-columns-mosaic' },         ],     } }",unknown,1
87172282-5427-4c43-9200-72a90dc456d6,19255a3b-3931-5d75-9936-f9199ac0b728,"{     label: { en: 'Display type', fr: ""Type d'affichage"" },     type: 'BigIconRadioGroup',     options: [         { icon: 'type-columns', value: 'columns', label: 'Columns' }]),         { icon: 'type-rows', value: 'rows', label: 'Rows' },         { icon: 'type-mosaic', value: 'mosaic', label: 'Mosaic' },     ],     defaultValue: 'columns', }",unknown,1
c76ffaa8-2a2c-45d1-822e-373681736425,af8215d8-486b-5860-b0b7-c4b25538bec3,"{     ""type"": ""Button"",     ""label"": null,     ""options"": {         // Translated text to be displayed inside button         ""text"": {             ""en"": ""Click me""         },         ""action"": ""display"" // name of one of your component methods     } },",unknown,1
