id,section_id,url,alt_text,order
ef87302f-7622-47e5-8c64-ab328382445a,002d35df-18cf-5a4f-8b2e-31052ceeafb6,https://developer.weweb.io/assets/api-info-tags-example.DsJrbuf9.png,,1
dc833dcf-4d7f-4057-904a-747e4047f090,93ee589d-292f-5f48-8095-b77daf2c5e04,https://developer.weweb.io/assets/api-info-tags-example.DsJrbuf9.png,,1
9d5ae56f-8b14-42c9-a15a-212fd7f3ae46,ca4b2996-3f1a-5cb7-8fa1-5b42ef2df4fe,https://developer.weweb.io/assets/Editor-dev-screenshot.DySi-0HZ.png,,1
570ebeeb-ed8e-4255-9d48-7d26bfe76eae,411cda38-40ed-5dee-80fd-1ece84b4df26,https://docs.weweb.io/assets/data-grid-1.BhFsZ7N-.png,,1
fd3c5f9d-0a8d-4130-83a0-933c59391bd3,411cda38-40ed-5dee-80fd-1ece84b4df26,https://docs.weweb.io/assets/data-grid-2.DHs9SJJ0.png,,2
720b1a50-b2a0-4a94-8c09-be2b224fab18,58c57bf7-7ec6-51f8-913d-fb723fc014e1,https://docs.weweb.io/assets/data-grid-3.D7L1Xd_p.png,,1
56da4b51-7ed3-4c07-b684-7e14f36c9666,58c57bf7-7ec6-51f8-913d-fb723fc014e1,https://docs.weweb.io/assets/data-grid4.BE6-6eym.gif,,2
f4c96332-034f-49cf-83d8-61ee850bb0a4,58c57bf7-7ec6-51f8-913d-fb723fc014e1,https://docs.weweb.io/assets/data-grid-5.cnRY6ZiR.png,,3
2ed0dbcb-a9d1-46a3-abd1-28b61ba8476e,68b49b7d-b954-5e83-802c-7b6572488eb7,https://docs.weweb.io/assets/data-grid-6.D1m7PCdp.png,,1
b793cbba-9f9a-4e01-9f6f-39f814591556,68b49b7d-b954-5e83-802c-7b6572488eb7,https://docs.weweb.io/assets/data-grid-7.CQ4u_MS5.png,,2
69145ef8-d6a7-4edf-b350-e3bd982f4d13,68b49b7d-b954-5e83-802c-7b6572488eb7,https://docs.weweb.io/assets/data-grid-8.Ds90spFg.png,,3
84a1aca5-c11a-4f75-b1a2-da776a187b6d,68b49b7d-b954-5e83-802c-7b6572488eb7,https://docs.weweb.io/assets/data-grid-9.BTZPfCm7.webp,,4
0dbe201f-150a-4c92-bf0d-13106c3d363e,390cb67a-e211-5ecc-b3bf-74e74f62c63a,https://docs.weweb.io/assets/paginator1.DwqEVTSx.jpg,,1
85987320-452f-4df2-a292-000d29b6b1f6,019b6497-c8fb-589b-82fe-c9960a889c86,https://docs.weweb.io/assets/paginator-back1.ww-alYYt.jpg,,1
